id,runtime,kind,runtime_destroy
1,149,linear,47
2,309,linear,60
3,265,linear,60
4,272,linear,76
5,261,linear,60
6,274,linear,60
7,286,linear,45
8,263,linear,61
9,245,linear,61
10,264,linear,62
11,284,linear,62
12,272,linear,63
13,255,linear,64
14,238,linear,48
15,262,linear,63
16,288,linear,63
17,244,linear,79
18,260,linear,63
19,265,linear,63
20,261,linear,63
21,275,linear,64
22,261,linear,62
23,290,linear,109
24,239,linear,63
25,264,linear,63
26,256,linear,63
27,274,linear,63
28,274,linear,63
29,290,linear,63
30,224,linear,62
31,262,linear,62
32,254,linear,63
33,258,linear,63
34,265,linear,63
35,240,linear,108
36,259,linear,63
37,243,linear,63
38,255,linear,62
39,260,linear,63
40,260,linear,64
41,256,linear,78
42,262,linear,63
43,243,linear,63
44,275,linear,63
45,271,linear,63
46,259,linear,63
47,250,linear,78
48,273,linear,94
49,257,linear,63
50,215,linear,63
51,254,linear,63
52,259,linear,62
53,263,linear,63
54,256,linear,63
55,256,linear,63
56,258,linear,94
57,286,linear,63
58,260,linear,48
59,241,linear,110
60,260,linear,63
61,245,linear,109
62,259,linear,63
63,258,linear,63
64,256,linear,63
65,259,linear,63
66,264,linear,62
67,247,linear,79
68,241,linear,93
69,263,linear,78
70,265,linear,63
71,238,linear,78
72,260,linear,63
73,258,linear,63
74,253,linear,64
75,255,linear,60
76,268,linear,58
77,245,linear,58
78,277,linear,59
79,246,linear,59
80,287,linear,59
81,256,linear,60
82,259,linear,61
83,218,linear,76
84,293,linear,61
85,266,linear,62
86,258,linear,63
87,277,linear,63
88,257,linear,64
89,282,linear,63
90,266,linear,63
91,261,linear,63
92,258,linear,63
93,261,linear,64
94,245,linear,79
95,316,linear,63
96,263,linear,63
97,259,linear,63
98,266,linear,63
99,263,linear,62
100,245,linear,62
