id,runtime,kind,runtime_destroy
1,304,single,60
2,254,single,60
3,250,single,60
4,246,single,76
5,266,single,46
6,244,single,94
7,259,single,62
8,280,single,48
9,260,single,63
10,286,single,93
11,258,single,63
12,296,single,63
13,239,single,95
14,280,single,63
15,266,single,63
16,259,single,78
17,270,single,63
18,310,single,63
19,269,single,63
20,262,single,63
21,245,single,80
22,266,single,63
23,259,single,63
24,271,single,60
25,278,single,60
26,308,single,61
27,269,single,60
28,297,single,60
29,270,single,91
30,257,single,76
31,271,single,61
32,258,single,61
33,305,single,62
34,298,single,63
35,262,single,62
36,262,single,62
37,226,single,79
38,263,single,62
39,217,single,78
40,286,single,62
41,246,single,62
42,224,single,93
43,261,single,63
44,276,single,62
45,262,single,62
46,251,single,79
47,265,single,63
48,267,single,63
49,261,single,62
50,264,single,62
51,269,single,62
52,314,single,62
53,276,single,63
54,263,single,62
55,265,single,68
56,260,single,63
57,284,single,62
58,294,single,62
59,268,single,63
60,257,single,63
61,260,single,63
62,275,single,62
63,279,single,63
64,247,single,77
65,262,single,62
66,257,single,60
67,258,single,62
68,258,single,62
69,291,single,62
70,235,single,78
71,259,single,62
72,295,single,62
73,278,single,108
74,252,single,62
75,254,single,62
76,253,single,62
77,253,single,63
78,254,single,78
79,261,single,63
80,249,single,63
81,262,single,63
82,265,single,94
83,271,single,63
84,271,single,63
85,258,single,63
86,241,single,63
87,253,single,64
88,261,single,93
89,254,single,78
90,253,single,62
91,254,single,63
92,237,single,47
93,247,single,79
94,290,single,63
95,238,single,64
96,290,single,63
97,273,single,47
98,263,single,64
99,259,single,62
100,258,single,63
