id,runtime,kind,runtime_destroy
1,188,linear,50
2,186,linear,49
3,177,linear,49
4,165,linear,49
5,180,linear,50
6,172,linear,49
7,176,linear,49
8,189,linear,49
9,182,linear,49
10,174,linear,59
11,144,linear,39
12,159,linear,80
13,191,linear,49
14,181,linear,49
15,180,linear,49
16,345,linear,23
17,347,linear,50
18,207,linear,49
19,465,linear,50
20,409,linear,70
21,186,linear,50
22,197,linear,49
23,176,linear,49
24,180,linear,49
25,175,linear,49
26,179,linear,49
27,182,linear,49
28,153,linear,69
29,152,linear,50
30,158,linear,101
31,196,linear,49
32,189,linear,49
33,201,linear,70
34,194,linear,49
35,177,linear,49
36,196,linear,49
37,176,linear,49
38,182,linear,50
39,179,linear,49
40,182,linear,49
41,148,linear,49
42,213,linear,50
43,151,linear,90
44,152,linear,90
45,192,linear,49
46,179,linear,49
47,180,linear,49
48,179,linear,49
49,176,linear,49
50,142,linear,89
51,176,linear,49
52,200,linear,49
53,177,linear,49
54,178,linear,49
55,177,linear,50
56,171,linear,50
57,152,linear,59
58,211,linear,50
58,186,linear,49
59,186,linear,49
60,180,linear,50
61,140,linear,60
62,173,linear,50
63,166,linear,59
64,201,linear,50
65,173,linear,49
66,186,linear,49
67,169,linear,39
68,185,linear,50
69,179,linear,49
70,186,linear,49
71,138,linear,79
72,190,linear,50
73,187,linear,49
74,202,linear,49
75,173,linear,50
76,188,linear,49
77,210,linear,49
78,194,linear,49
79,182,linear,50
80,186,linear,49
81,193,linear,50
82,179,linear,50
83,176,linear,49
84,179,linear,49
85,210,linear,49
86,173,linear,49
87,206,linear,49
88,194,linear,50
89,198,linear,49
90,180,linear,49
91,192,linear,49
92,178,linear,50
93,173,linear,49
94,194,linear,49
95,179,linear,48
96,178,linear,49
97,186,linear,49
98,200,linear,49
99,181,linear,49
100,188,linear,50
