id,runtime,kind,runtime_destroy
1,183,single,49
2,173,single,50
3,193,single,50
4,342,single,70
5,342,single,70
6,182,single,59
7,153,single,70
8,177,single,59
9,151,single,40
10,173,single,60
11,148,single,90
12,173,single,49
13,175,single,49
14,153,single,49
15,203,single,60
16,270,single,50
17,160,single,50
18,211,single,49
19,195,single,60
20,159,single,60
21,223,single,139
22,165,single,60
23,265,single,50
24,343,single,70
25,189,single,50
26,170,single,50
27,184,single,50
28,211,single,49
29,180,single,80
30,170,single,49
31,195,single,50
32,179,single,49
33,175,single,50
34,176,single,49
35,169,single,49
36,180,single,49
37,177,single,50
38,175,single,49
39,175,single,49
40,342,single,70
41,181,single,49
42,214,single,59
43,186,single,50
44,167,single,50
45,178,single,49
46,176,single,49
47,181,single,50
48,179,single,50
49,194,single,49
50,167,single,49
51,194,single,60
52,185,single,49
53,168,single,49
54,177,single,60
55,176,single,50
56,179,single,49
57,224,single,50
58,218,single,49
59,188,single,49
60,170,single,49
61,143,single,80
62,125,single,49
63,153,single,69
64,181,single,50
65,171,single,49
66,172,single,60
67,177,single,50
68,174,single,50
69,205,single,49
70,182,single,49
71,217,single,60
72,188,single,49
73,194,single,49
74,147,single,79
75,147,single,69
76,174,single,49
77,210,single,59
78,214,single,49
79,204,single,49
80,194,single,50
81,156,single,59
82,180,single,49
83,144,single,70
84,177,single,49
85,200,single,50
86,343,single,69
87,179,single,49
88,179,single,49
89,188,single,59
90,181,single,49
91,195,single,49
92,172,single,50
93,184,single,50
94,209,single,50
95,187,single,49
96,152,single,69
97,177,single,49
98,210,single,49
99,189,single,49
100,153,single,69
