id,runtime,kind,runtime_destroy
1,176,tree,50
2,200,tree,49
3,175,tree,49
4,146,tree,100
5,143,tree,70
6,146,tree,79
7,151,tree,80
8,189,tree,50
9,172,tree,49
10,178,tree,50
11,176,tree,49
12,175,tree,59
13,144,tree,80
14,181,tree,49
15,180,tree,50
16,175,tree,49
17,202,tree,49
18,147,tree,80
19,177,tree,49
20,175,tree,50
21,173,tree,50
22,181,tree,50
23,182,tree,49
24,201,tree,50
25,164,tree,60
26,176,tree,50
27,192,tree,50
28,176,tree,49
29,171,tree,60
30,180,tree,49
31,172,tree,49
32,214,tree,49
33,196,tree,59
34,194,tree,49
35,186,tree,49
36,169,tree,50
37,202,tree,49
38,186,tree,59
39,178,tree,50
40,154,tree,70
41,207,tree,49
42,181,tree,49
43,178,tree,49
44,170,tree,49
45,195,tree,49
46,189,tree,49
47,156,tree,70
48,174,tree,50
49,172,tree,49
50,179,tree,49
51,217,tree,49
52,176,tree,60
53,144,tree,80
54,175,tree,60
55,188,tree,49
56,186,tree,50
57,169,tree,49
58,168,tree,49
59,187,tree,49
60,180,tree,49
61,188,tree,49
62,160,tree,39
63,201,tree,50
64,185,tree,50
65,168,tree,59
66,147,tree,69
67,185,tree,59
68,181,tree,60
69,192,tree,49
70,213,tree,59
71,180,tree,60
72,191,tree,50
73,190,tree,60
74,177,tree,59
75,181,tree,59
76,187,tree,60
77,174,tree,49
78,180,tree,50
79,183,tree,49
80,190,tree,50
81,187,tree,49
82,181,tree,49
83,186,tree,49
84,180,tree,50
85,196,tree,60
86,147,tree,60
87,201,tree,49
88,169,tree,49
89,175,tree,50
90,169,tree,49
91,212,tree,60
92,184,tree,50
93,184,tree,49
94,149,tree,39
95,186,tree,49
96,207,tree,49
97,182,tree,50
98,178,tree,50
99,182,tree,50
100,192,tree,49
